Physics,Sections,CFG,mse,var_diff,FID
cossched,seccos20,5,1766.628304338455,17.53783860633307,103.64252307839004
cossched,seccos10,8,2933.2827684879303,22.55813467308708,101.01149185566143
cossched,sec15,1,466.5191256046295,27.123530026032046,93.02323352381653
cossched,seccos25,8,2302.6080712795256,22.284303840188908,106.82889384229841
cossched,seccos30,4,987.1092776298523,25.0481478654986,98.77070184962066
nophys,seccos10,8,1148.3806713581084,38.70065612631933,116.0322917263206
cossched,sec20,5,1453.7919456481934,25.833582203029408,111.0945163130092
cossched,sec30,8,1999.3372183322906,48.30231747186018,110.78928465050569
cossched,sec20,7,2181.8232819080354,20.52964750439179,113.24030007294607
cossched,sec15,5,1942.901957321167,20.407836331240137,114.36726599259195
cossched,seccos10,1,620.8093503236771,21.774595215303464,95.26802024287196
nophys,seccos25,2,76.04273538589477,23.58343662900976,109.45555984027922
cossched,sec15,4,1404.1289836883545,18.41816689126862,115.07001683450206
cossched,seccos20,6,2235.0413615226744,15.1234793391773,105.81350042717358
nophys,sec15,1,36.76540603637695,26.048984654570983,106.97657088521935
cossched,sec30,2,359.3269392967224,34.90637640667272,95.97363419880523
cossched,sec15,6,2325.6562982559203,20.597640409476245,114.84185530229986
nophys,sec30,4,538.3581442832947,24.209408077797683,107.79350336820944
cossched,seccos25,5,1104.2119283676147,21.332135660363157,103.94987966434364
cossched,sec25,2,361.45247211456297,41.66277445806456,97.68886168056413
nophys,seccos25,8,1134.9694333076477,29.665416746877366,120.48009589789288
cossched,seccos15,1,545.9090088367462,25.34539288861199,99.01156471555453
cossched,sec25,6,1742.0951128959655,41.44130476206478,106.06132333609598
nophys,seccos25,7,1229.7492801904677,25.561570948567905,117.68862380545502
